Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S71880088,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129547,BPI-030-CR,10.1051612,-84.5498399,2020-07-23,06:13 AM,eBird - Stationary Count,10,1,,,1,,3
S71703879,Gray-headed Chachalaca,Ortalis cinereiceps,751,4,CR-A,,L11129595,BPI-034-CR,10.0975689,-84.5513293,2020-07-21,07:41 AM,eBird - Stationary Count,10,1,,,1,,,bpi34
S71754776,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129595,BPI-034-CR,10.0975689,-84.5513293,2020-07-23,06:54 AM,eBird - Stationary Count,10,1,,,1,,3,bpi34
S73641994,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11129624,BPI-035-CR,10.0530529,-84.4855296,2020-08-07,08:57 AM,eBird - Stationary Count,10,1,,,1,,2
S72241069,Gray-headed Chachalaca,Ortalis cinereiceps,751,4,CR-A,,L11129624,BPI-035-CR,10.0530529,-84.4855296,2020-08-09,05:48 AM,eBird - Stationary Count,12,1,,,2,,4
S72184031,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11129645,BPI-037-CR,10.0546771,-84.4839844,2020-08-07,08:05 AM,eBird - Stationary Count,10,1,,,2,,,BPI-037-CR
S72241832,Gray-headed Chachalaca,Ortalis cinereiceps,751,1,CR-A,,L11129645,BPI-037-CR,10.0546771,-84.4839844,2020-08-09,06:23 AM,eBird - Stationary Count,11,1,,,2,,1
S59938696,Gray-headed Chachalaca,Ortalis cinereiceps,751,10,CR-A,,L11129654,BPI-038-CR,10.0547542,-84.4830427,2019-09-19,07:00 AM,eBird - Stationary Count,11,1,,,2,,10,bpi-38
S59934306,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129654,BPI-038-CR,10.0547542,-84.4830427,2019-09-19,07:12 AM,eBird - Stationary Count,11,1,,,1,,3
S73642010,Gray-headed Chachalaca,Ortalis cinereiceps,751,6,CR-A,,L11129654,BPI-038-CR,10.0547542,-84.4830427,2020-08-07,08:07 AM,eBird - Stationary Count,10,1,,,1
S72184042,Gray-headed Chachalaca,Ortalis cinereiceps,751,1,CR-A,,L11129654,BPI-038-CR,10.0547542,-84.4830427,2020-08-07,08:24 AM,eBird - Stationary Count,10,1,,,2,,,BPI-038-CR
S73641955,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11129654,BPI-038-CR,10.0547542,-84.4830427,2020-08-09,06:50 AM,eBird - Stationary Count,10,1,,,1
S59966083,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129687,BPI-039-CR,10.0452216,-84.478374,2019-09-20,07:08 AM,eBird - Stationary Count,10,1,,,1,,3
S59964482,Gray-headed Chachalaca,Ortalis cinereiceps,751,20,CR-A,,L11129687,BPI-039-CR,10.0452216,-84.478374,2019-09-20,07:19 AM,eBird - Stationary Count,15,1,,,1,,20,bpi-39
S71880388,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11129687,BPI-039-CR,10.0452216,-84.478374,2020-07-27,05:35 AM,eBird - Stationary Count,10,1,,,1,,,bpi39
S71879712,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11129687,BPI-039-CR,10.0452216,-84.478374,2020-07-27,05:44 AM,eBird - Stationary Count,10,1,,,1
S72117448,Gray-headed Chachalaca,Ortalis cinereiceps,751,7,CR-A,,L11129687,BPI-039-CR,10.0452216,-84.478374,2020-07-28,09:10 AM,eBird - Stationary Count,10,1,,,1,,7
S59966076,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11129698,BPI-040-CR,10.0444591,-84.480093,2019-09-20,06:44 AM,eBird - Stationary Count,10,1,,,1
S59964477,Gray-headed Chachalaca,Ortalis cinereiceps,751,20,CR-A,,L11129698,BPI-040-CR,10.0444591,-84.480093,2019-09-20,06:55 AM,eBird - Stationary Count,11,1,,,1,,,bpi40
S72117434,Gray-headed Chachalaca,Ortalis cinereiceps,751,6,CR-A,,L11129707,BPI-041-CR,10.0435427,-84.4811087,2020-07-28,08:41 AM,eBird - Stationary Count,10,1,,,1,,6
S59964465,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129730,BPI-042-CR,10.0416568,-84.4810864,2019-09-20,06:13 AM,eBird - Stationary Count,11,1,,,1,,,bpi-42
S72067345,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11129758,BPI-043-CR,10.1221828,-84.5058146,2020-08-02,07:04 AM,eBird - Stationary Count,10,1,,,1,,5,bpi43
S72117622,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129758,BPI-043-CR,10.1221828,-84.5058146,2020-08-02,07:13 AM,eBird - Stationary Count,10,1,,,1,,3
S72139614,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129758,BPI-043-CR,10.1221828,-84.5058146,2020-08-03,07:24 AM,eBird - Stationary Count,10,1,,,1,,3
S72067343,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11129774,BPI-044-CR,10.1213554,-84.5065818,2020-08-02,07:19 AM,eBird - Stationary Count,10,1,,,1,,3,bpi44
S72076077,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11129774,BPI-044-CR,10.1213554,-84.5065818,2020-08-03,07:21 AM,eBird - Stationary Count,10,1,,,1,,5,bpi44
S60094094,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11129796,BPI-046-CR,10.1286011,-84.5143227,2019-09-23,07:53 AM,eBird - Stationary Count,11,1,,,1,,2
S60220468,Gray-headed Chachalaca,Ortalis cinereiceps,751,10,CR-A,,L11129796,BPI-046-CR,10.1286011,-84.5143227,2019-09-26,06:49 AM,eBird - Stationary Count,13,1,,,1,,10,bpi46
S60220456,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11129808,BPI-047-CR,10.1287986,-84.5130944,2019-09-26,06:32 AM,eBird - Stationary Count,11,1,,,1,,5,BPI47
S60138228,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11129808,BPI-047-CR,10.1287986,-84.5130944,2019-09-26,06:46 AM,eBird - Stationary Count,10,1,,,1,,5
S72067332,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11129808,BPI-047-CR,10.1287986,-84.5130944,2020-08-02,08:28 AM,eBird - Stationary Count,10,1,,,1,,5,bpi47
S60138214,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11129821,BPI-048-CR,10.1288066,-84.5119934,2019-09-26,06:28 AM,eBird - Stationary Count,10,1,,,1,,5
